Article Number,Product Name,Category,Price (MKD),Has Image
3041,HL/1 rise/fall white/purple/black 'VETRO,Внатрешно осветлување,2.37,Yes
3355,HL/1 rise/fall Ø380 white 'ALESSANDRA',Внатрешно осветлување,2.34,Yes
7184,CL/2 Ø400 alabaster/chrome 'SALOME',Внатрешно осветлување,2.14,Yes
7186,CL/1 Ø300 alabaster/chrome 'SALOME',Внатрешно осветлување,1.17,Yes
7188,WL/1 alabaster/chrome 'SALOME',Внатрешно осветлување,863,Yes
9228,TL flexible black 'BASIC',Внатрешно осветлување,927,Yes
9229,TL flexible white 'BASIC',Внатрешно осветлување,927,Yes
9230,TL flexible red 'BASIC',Внатрешно осветлување,927,Yes
9232,TL flexible blue 'BASIC',Внатрешно осветлување,927,Yes
12221,"bulb-ZIG-E27-A60 4,9W 2200K amber 1 pcs",Сијалици,589,Yes
12222,"bulb-ZIG-E27-ST64 4,9W 2200K amber 1 pcs",Сијалици,611,Yes
12223,"bulb-ZIG-E27-G80 4,9W 2200K amber 1 pcs",Сијалици,609,Yes
12224,"bulb-ZIG-E27-G95 4,9W 2200K amber 1 pcs",Сијалици,877,Yes
12225,bulb-ZIG-E27-G125 6W 2200K amber 1 pcs,Сијалици,915,Yes
12226,bulb-ZIG-E27-A60 6W 2700K clear 1 pcs,Сијалици,781,Yes
12227,bulb-ZIG-E27-ST64 6W 2700K clear 1 pcs,Сијалици,710,Yes
12228,bulb-ZIG-E27-G80 6W 2700K clear 1 pcs,Сијалици,810,Yes
12229,bulb-ZIG-E27-G95 6W 2700K clear 1 pcs,Сијалици,617,Yes
12231,LM-ZIG-E27-A60 6W 4000K KLAR 1 STK,Сијалици,939.66,Yes
12235,bulb-ZIG-CCT-E27-A60 6W clear 1 pcs,Сијалици,899,Yes
12236,bulb-ZIG-CCT-E27-ST64 6W clear 1 pcs,Сијалици,899,Yes
12237,bulb-ZIG-CCT-E27-G80 6W clear 1 pcs,Сијалици,1.03,Yes
12239,bulb-ZIG-CCT-E27-G95 6W clear 1 pcs,Сијалици,1.08,Yes
12241,"bulb-ZIG-CCT-E27-A60 4,9W amber 1 pcs",Сијалици,1.13,Yes
12242,"bulb-ZIG-CCT-E27-ST64 4,9W amber 1 pcs",Сијалици,1.13,Yes
12243,"bulb-ZIG-CCT-E27-G80 4,9W amber 1 pcs",Сијалици,1.13,Yes
12244,"bulb-ZIG-CCT-E27-G95 4,9W amber 1 pcs",Сијалици,1.35,Yes
12245,"bulb-ZIG-CCT-E27-G125 4,9W amber 1 pcs",Сијалици,1.4,Yes
12248,"bulb-MR16-SCOB GU5.3 3,6W 2700K 2 pcs",Сијалици,511,Yes
12251,"bulb-ZIG-RGB/CCT GU10 4,9W opal",Сијалици,843,Yes
12252,"bulb-ZIG-RGB/CCT E14 P45 4,9W opal",Сијалици,843,Yes
12253,bulb-ZIG-RGB/CCT E27 A60 9W opal,Сијалици,826,Yes
12254,"bulb-ZIG-RGB/CCT E27 G95 13,5W opal",Сијалици,1.37,Yes
12552,bulb-E27-LED T180 4W petrol 1 pc,Сијалици,1.81,Yes
12553,bulb-E27-LED T180 4W sand 1 pc,Сијалици,1.81,Yes
12554,bulb-E27-LED T180 4W purple 1 pc,Сијалици,1.81,Yes
